Entity;Type;tvb:type;Superclass(es);tvb:mathematical_notation;is_CVAR_of;is_argument_of;is_VOI_of;surrogate;has_state_variable;is_derivative_of;has_argument;equals;depends_on;is_boolean_of;has_function;is_coefficient_of;regional_surrogate;is_parameter_of;is_state_variable_of;surrogate_of;has_derivative;has_parameter;contains;is_function_of;owl:topObjectProperty;is_a;has_range;has_default;identifier;publicMeSHNote;dc:description;tvb:sourcecode;tvb:dynamicalConfiguration;tvb:fullName;tvb:category;tvb:GO_ID;tvb:tuto;tvb:expression;tvb:wiki;tvb:acronym;tvb:unit;tvb:documentation;tvb:references;tvb:equation;tvb:dynamicsExploration;tvb:functionType;tvb:shortName;tvb:synonym;rdfs:label;skos:definition;
Infinite Theta;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Infinite Theta;;
Wong-Wang Deco;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Deco G, Ponce-Alvarez A, Mantini D, Romani GL, Hagmann P, Corbetta M. (2013) Resting-State Functional Connectivity Emerges from Structurally and Dynamically Shaped Slow Linear Fluctuations. J Neurosci; 33 (27) 11239-52. https://doi.org/10.1523/JNEUROSCI.1091-13.2013";;;;;;Wong-Wang Deco;"Wong-Wang Deco class contains the


- full model
- dynamical mean field reduction";
Cakan-Obermayer;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Cakan-Obermayer;aln;;;(Cakan & Obermayer, 2020) Cakan C, Obermayer K (2020) Biophysically grounded mean-field models of neural populations under electrical stimulation. PLOS Computational Biology 16(4): e1007822. https://doi.org/10.1371/journal.pcbi.1007822;"Equations of the ALN.

::math
\dot{\mu}_{\alpha} &=& 1/\tau_{\alpha} * (\mu_{\alpha}^{syn} + \mu_{\alpha}^{ext} - \mu_{\alpha})
\dot{I_{A}} &=& 1/\tau_{A} * (a (V_{E} - E_{A}) - I_{A}) + b r_{E}
\dot{s}_{\alpha\beta}  &=& -1/\tau_{s\beta} * s_{\alpha\beta} + (1 - s_{\alpha\beta}) r_{\alpha\beta}

\dot{sigma^{2}}_{s\alpha\beta}  &=& (1 - s_{\alpha\beta}))^{2} \rho_{\alpha\beta}  + 1/\tau_{s\beta}  ( \rho_{\alpha\beta} - 2 \tau_{s\beta} ( \rho_{\alpha\beta}+ 1)) sigma^{2}_{s\alpha\beta}

with
::math
\mu_{\alpha}^{syn} = J_{\alphaE} \bar{s}_{\alphaE} + J_{\alphaI} \bar{s}_{\alphaI}";;;;;Cakan-Obermayer;"The Cakan-Obermayer, called adaptive linear-nonlinear cascade (aln), a biophysical-inspired neural mass model of a piece of cortical tissue corresponding to the mean-field reduction of a network of excitatory and inhibitory adaptive exponential (AdEx) integrate-and-fire neurons (Cakan & Obermayer, 2020).

Note:
- This model can be used to efficiently study the effects of electrical stimulation on large neural populations,
- Equations and parameters are taken from (Cakan & Obermayer, 2020).";
Hopfield;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Hopfield;;;https://docs.thevirtualbrain.org/api/tvb.simulator.models.html#module-tvb.simulator.models.hopfield;"(Hopfield, 1982) Hopfield JJ. Neural networks and physical systems with emergent collective computational abilities. Proc. Nat. Acad. Sci. (USA) 79, 2554-2558, 1982

(Hopfield, 1984) Hopfield JJ. Neurons with graded response have collective computational properties like those of two-sate neurons. Proc. Nat. Acad. Sci. (USA) 81, 3088-3092, 1984.

(Golos et al. 2015) Golos M, Jirsa VK, Daucé E. Multistability in large scale models of brain activity. PLoS Comput Biol 11(12): e1004644. doi:10.1371/ journal.pcbi.1004644	http://www.scholarpedia.org/article/Hopfield_network";"Equations of the Hopfield model.

::math
\dot{x_{i}} &= 1 / \tau_{x} (-x_{i} + lrc) \\
 \dot{\\theta_{i}} &= 1 / \tau_{\theta} (-\theta_{i} + c_1(i))";;;;;Hopfield;"The Hopfield neural network is a discrete time dynamical system composed of multiple binary nodes, with a connectivity matrix built from a predetermined set of patterns. The update, inspired from the spin-glass model (used to describe magnetic properties of dilute alloys), is based on a random scanning of every node. The existence of a fixed point dynamics is guaranteed by a Lyapunov function. The Hopfield network is expected to have those multiple patterns as attractors (multistable dynamical system).
When the initial conditions are close to one of the learned patterns, the dynamical system is expected to relax on the corresponding attractor. A possible output of the system is the final attractive state (interpreted as an associative memory).

Various extensions of the initial model have been proposed, among which a noiseless and continuous version [Hopfield 1984] having a slightly different Lyapunov function, but essentially the same dynamical properties, with more straightforward physiological Interpretation. A continuous Hopfield neural network (with a sigmoid transfer function) can indeed be interpreted as a network of neural masses with every node corresponding to the mean field activity of a local brain region, with many bridges with the Wilson Cowan model [WC_1972].

Note:
- This model uses the modifications implemented by Golos et al. (2015).";
JansenRit;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/jansen_rit.py;;Jansen-Rit Model;;;https://nbviewer.thevirtualbrain.org/url/docs.thevirtualbrain.org/demos/simulate_region_jansen_rit.ipynb;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Jansen-Rit;JR;;https://docs.thevirtualbrain.org/api/tvb.simulator.models.html#module-tvb.simulator.models.jansen_rit;"ORIGINAL.
Jansen BH, Zouridakis G, and Brandt M. A neurophysiologically-based mathematical model of flash visual evoked potentials. Biol. Cybern. 68, 275:283, 1993. https://doi.org/10.1007/BF00224863

Jansen BH and Rit VG. Electroencephalogram and visual evoked potential generation in a mathematical model of coupled cortical columns. Biol. Cybern. 73, 357:366, 1995. https://doi.org/10.1007/BF00199471

TVB.
Stefanovski L, Triebkorn P, Spiegler A, Diaz-Cortes MA, Solodkin A, Jirsa VK, McIntosh AR, Ritter P for the Alzheimers Disease Neuroimaging Initiative. Linking Molecular Pathways and Large-Scale Computational Modeling to Assess Candidate Disease Mechanisms and Pharmacodynamics in Alzheimers Disease. Front Comput Neurosci 2019, 13: 54. https://doi.org/10.3389/fncom.2019.00054";"The equations of the Jansen-Rit read as follows:

For all node i,

y_0dot = y_3
y_1dot = y_4
y_2dot = y_5
y_3dot = Aa * Sigm(y_1 -  y_2) - 2 * a * y_3 - a**2 * y_0
y_4dot = Aa * [p(t) + alpha_2 * J * Sigm(alpha_1 * J * y_0) + lrc + src] - 2 * a * y_4 - a**2 * y_1
y_5dot = Bb * [ alpha_4 * J * Sigm(alpha_3 * J * y_0) ] - 2 * b * y_5 - b**2 * y_2

with
Sigm(nu) = (2 * nu_max) / (1 + exp( r (nu_0 - nu) ) )";https://doi.org/10.3389/fphys.2012.00331	https://doi.org/10.1162/neco.2006.18.12.3052	https://doi.org/10.1162/NECO_a_00206;;;;JansenRit;"The Jansen-Rit is a neurophysiologically-inspired neural mass model of a cortical column (or area), developed to simulate the electrical brain activity, i.e., the electroencephalogram (EEG), and evoked-potentials (EPs; Jansen et al., 1993; Jansen & Rit, 1995).

The Jansen-Rit is a 6-dimensional, non-linear, model describing the local average states of three interconnected neural populations: pyramidal cells (PCs), excitatory and inhibitory interneurons (EINs and IINs), interacting through positive and negative feedback loops. The main output of the model is the average membrane potential of the pyramidal cell population, as the sum of the potential of these cells is thought to be the source of the potential recorded in the EEG.

Note:
------
- In the model of Jansen and Rit (1995), that we consider here, the external input (coming from other brain areas) only targets the PCs, although it was shown both excitatory populations (PCs and EINs) received it.
- Equations and default parameters are taken from (Jansen & Rit, 1995).";
LarterBreakspear;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/larter_breakspear.py;;Larter-Breakspear;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Larter-Breakspear;LB;;https://docs.thevirtualbrain.org/api/tvb.simulator.models.html#module-tvb.simulator.models.larter_breakspear;"(Larter et al., 1999) Larter R, Speelman B, Worth RM. A coupled ordinary differential equation lattice model for the simulation of epileptic seizures. Chaos. 9(3): 795, 1999.

(Breakspear et al., 2003a) Breakspear M, Terry JR, Friston KJ. Modulation of excitatory synaptic coupling facilitates synchronization and complex dynamics in a nonlinear model of neuronal dynamics. Neurocomputing 52–54 (2003), 151–158.

(Breakspear et al., 2003b) Breakspear M, Terry JR, Friston KJ. Modulation of excitatory synaptic coupling facilitates synchronization and complex dynamics in a biophysical model of neuronal dynamics. Network: Computation in Neural Systems 14: 703-732, 2003.";"Equations of the Larter-Breakspear.

math::
\dot{V} & = - (g_{Ca} + (1 - C) \, r_{NMDA} \, a_{ee} \, Q_V + C \, r_{NMDA} \, a_{ee} \, lrc \, m_{Ca} \, (V - VCa) \\
                           & \,\,- g_K \, W \, (V - VK) -  g_L \, (V - VL) \\
                           & \,\,- (g_{Na} \, m_{Na} + (1 - C) \, a_{ee} \, Q_V + C \, a_{ee} \, \ lrc \,(V - VNa) \\
                           & \,\,- a_{ie} \, Z \, Q_Z + a_{ne} \, I, \\
                           & \\
 \dot{W} & = \phi \, \dfrac{m_K - W}{\tau},\\

 \dot{Z} &= b (a_{ni}\, I + a_{ei}\,V\,Q_V),\\

with
math::

 Q_{V}   &= \frac{1}{2} Q_{V_{max}} \, (1 + \tanh\left(\dfrac{V - VT}{\delta_{V}}\right)),\\
 Q_{Z}   &= \frac{1}{2} Q_{Z_{max}} \, (1 + \tanh\left(\dfrac{Z - ZT}{\delta_{Z}}\right)),

and
math::

m_{ion}   &= \frac{1}{2} \, (1 + \tanh\left(\dfrac{V - T_{ion}}{\delta_{ion}}\right))";;;;;LarterBreakspear;"The Larter-Breakspear is an extension (Breakspear et al., 2003a, 2003b) of the biophysical-inspired neural mass model of a cortical column (or area) from Larter et al. (1999), initially developed to simulate firing rate activity from focal region involved in partial seizure. It is determined by voltage- and ligand-gated ions channels and feedback between intensively interconnected excitatory and inhibitory neurons.

The Larter-Breakspear is a 3D model describing the local average states of two interconnected neural populations: pyramidal cells (PCs) and inhibitory interneurons (IINs), with an additional variable representing the potassium channels in the population of PCs.

The membrane potential of the pyramidal cells is the focus of the model and is governed by sodium,
potassium, calcium and “leaky” ion channels, of which the voltage-gated potassium channels are modelled in more detail.

The excitatory to excitatory connections are modelled in more detail as glutamatergic connections with AMPA and NMDA receptors.

Note:
- Equations and default parameters are taken from (Breakspear et al., 2003b),
- All equations and parameters are non-dimensional and normalized to neural capacitance C = 1.";
WilsonCowan;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/wilson_cowan.py;;Wilson and Cowan;;;;;https://gitlab.com/BrainSimulation/tvb-ontology/-/wikis/Wiki/Neural-Mass-Models/Wilson-and-Cowan;WC;;https://docs.thevirtualbrain.org/api/tvb.simulator.models.html#module-tvb.simulator.models.wilson_cowan;"(Wilson and Cowan, 1972) Wilson HR, Cowan JD. Excitatory and Inhibitory Interactions in Localized Populations of Model Neurons. Biophysical Journal. 1972;12(1):1-24.

(Wilson and Cowan, 1973) Wilson HR, Cowan JD. A mathematical theory of the functional dynamics of cortical and thalamic nervous tissue. Kybernetik. 1973;13(2):55-80.

(Daffertshofer and van Wijk, 2011) Daffertshofer A, van Wijk BC. On the Influence of Amplitude on the Connectivity between Phases. Front Neuroinform. 2011;5:6.

(Liley et al., 1999) Liley, D.T., Alexander, D.M., Wright, J.J., Aldous, M.D., 1999. Alpha rhythm emerges from large-scale networks of realistically coupled multicompartmental model cortical neurons. Network 10 (1), 79–92.

(Sanz-Leon et al., 2015) Sanz-Leon P, Knock SA, Spiegler A, Jirsa VK. Mathematical framework for large-scale brain network modeling in The Virtual Brain. Neuroimage. 2015;111:385-430.";"Equations of the Wilson and Cowan Model:

::math

\dot{E}  = \dfrac{1}{\tau_e} (-E  + (k_e - r_e E) \mathcal{S}_e (\alpha_e \left( c_{ee} E - c_{ei} I  + P - \theta_e + \\
\lrc  + src ))\\

\dot{I}  = \dfrac{1}{\tau_i} (-I  + (k_i - r_i I) \mathcal{S}_i (\alpha_i \left( c_{ie} E - c_{ee} I  + Q - \theta_i + \\
\lrc + src )),

where
math::
Sk(x_{k}) = \dfrac{c_{k}}{1 + \exp(-a_{k} * {x_{k} - b_{k}})}

and
math::
x_{e} = \alpha_e \left( c_{ee} E - c_{ei} I + P - \theta_e + lrc + src), \\
x_{i} = \alpha_i \left( c_{ie} E - c_{ii} I + Q - \theta_i + lrc + src)";;;;;WilsonCowan;"The Wilson and Cowan model consists of two populations or masses, one excitatory and one inhibitory, that are described by their mean firings rates E and I respectively (Wilson and Cowan, 1972, 1973).

This model is the minimal representation of a NMM with a coarse-grained description of the overall activity of a large-scale neuronal network, as opposed to being a detailed biophysical model. While employing just two differential equations, it has been used to build various biophysically realistic models (Liley et al., 1999; Daffertshofer and van Wijk, 2011).

Key parameters in the model are the strength of connectivity between each subtype of population (excitatory and inhibitory) and the strength of input to each subpopulation. The Input parameters P and Q also provide the entry point for local and long-range connectivity, that is, the activity coming from neighboring and distant populations respectively.

Varying Input and connectivity generates a diversity of dynamical behaviors that are representative of observed activity in the brain, like multistability, oscillations, traveling waves and spatial patterns.
We consider the transmission parameters of the excitatory population to be glutamatergic and therefore to be modified by glutamatergic receptors. The inhibitory population is considered as GABAergic.

Note:
- Equations and parameter names are taken from (Wilson and Cowan, 1972 and Sanz-Leon et al., 2015)
- Default parameters are taken from Fig. 4 p.10 (Wilson and Cowan, 1972)
- The model in Sanz-Leon et., 2015 includes more parameters than the original model, which can be traced in the description of the parameters.";
Zerlaut;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zerlaut;;
ZetterbergJansen;Class;NMM;Biological Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://github.com/the-virtual-brain/tvb-root/blob/master/tvb_library/tvb/simulator/models/jansen_rit.py;;Zetterberg-Jansen;;;;;;ZJ;;;;;;;;;ZetterbergJansen;;
EEG Monitor;Class;;Biophysical Monitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://docs.thevirtualbrain.org/api/tvb.simulator.monitors.html#tvb.simulator.monitors.EEG;;;;;;;EEG Monitor;EEG Monitor computes the forward solution model for electroencephalogy (EEG).;
