Class;Property;Keyword
rhythmic excitation;Entity;excitation
modulation of excitatory postsynaptic potential;Entity;excitatory
negative regulation of mini excitatory postsynaptic potential;Entity;excitatory
positive regulation of excitatory postsynaptic potential;Entity;excitatory
regulation of mini excitatory postsynaptic potential;Entity;excitatory
positive regulation of mini excitatory postsynaptic potential;Entity;excitatory
mini excitatory postsynaptic potential;Entity;excitatory
evoked excitatory postsynaptic potential;Entity;excitatory
negative regulation of excitatory postsynaptic potential;Entity;excitatory
positive regulation of synaptic transmission, glutamatergic;Entity;glutamatergic
regulation of synaptic transmission, glutamatergic;Entity;glutamatergic
positive regulation of synaptic transmission, glutamatergic;Entity;glutamatergic
negative regulation of AMPA receptor activity;Entity;AMPA
inhibitory postsynaptic potential;Entity;inhibitory
negative regulation of GABA-A receptor activity;Entity;GABA
positive regulation of synaptic transmission, GABAergic;Entity;GABA
extrasynaptic signaling via GABA;Entity;GABA
negative regulation of synaptic transmission, GABAergic;Entity;GABA
regulation of synaptic transmission, GABAergic;Entity;GABA
regulation of synaptic transmission, dopaminergic;Entity;dopaminergic
positive regulation of synaptic transmission, dopaminergic;Entity;dopaminergic
astrocyte-dopaminergic neuron signaling;Entity;dopaminergic
negative regulation of synaptic transmission, dopaminergic;Entity;dopaminergic
positive regulation of synaptic transmission, cholinergic;Entity;cholinergic
regulation of synaptic transmission, cholinergic;Entity;cholinergic
zinc potentiation of synaptic transmission, glycinergic;Entity;glycinergic
positive regulation of synaptic transmission, glycinergic;Entity;glycinergic
regulation of synaptic transmission, glycinergic;Entity;glycinergic
negative regulation of synaptic transmission, glycinergic;Entity;glycinergic
epinephrine secretion, neurotransmission;Entity;Epinephrine
norepinephrine secretion, neurotransmission;Entity;Epinephrine
norepinephrine secretion, neurotransmission;Entity;Norepinephrine
taurine metabolic process;Entity;Taurine
taurine catabolic process;Entity;Taurine
negative regulation of short-term neuronal synaptic plasticity;Entity;Plasticity
regulation of long-term neuronal synaptic plasticity;Entity;Plasticity
induction of synaptic plasticity by chemical substance;Entity;Plasticity
regulation of synaptic plasticity;Entity;Plasticity
positive regulation of long-term neuronal synaptic plasticity;Entity;Plasticity
regulation of short-term neuronal synaptic plasticity;Entity;Plasticity
positive regulation of short-term neuronal synaptic plasticity;Entity;Plasticity
negative regulation of long-term neuronal synaptic plasticity;Entity;Plasticity
negative regulation of synaptic metaplasticity;Entity;Plasticity
positive regulation of synaptic metaplasticity;Entity;Plasticity
