Class;Property;Keyword
J_NMDA_RWW_EI;Entity;NMDA
r_NMDA_LB;Entity;NMDA
Vdot_LB;has_parameter;NMDA
I_E_RWW_EI;has_parameter;NMDA
I_I_RWW_EI;has_parameter;NMDA
I_E_RWW_EI;tvb:equation;NMDA
I_I_RWW_EI;tvb:equation;NMDA
I_0_RWW;tvb:dynamicsExploration;NMDA
r_NMDA_LB;tvb:shortName;AMPA
tau_I_RWW_EI;tvb:synonym;GABA
J_NMDA_RWW_EI;rdfs:label;NMDA
r_NMDA_LB;rdfs:label;NMDA
I_LB;skos:definition;excitation
Si_WC;skos:definition;excitation
Se_WC;skos:definition;excitation
x_i_WC;skos:definition;excitation
x_e_WC;skos:definition;excitation
I_A_CO;skos:definition;excitatory
sigma_E_CO;skos:definition;excitatory
mu_E_ext_CO;skos:definition;excitatory
mu_E_CO;skos:definition;excitatory
K_12_SJ3D;skos:definition;excitatory
sigma_E_ext_CO;skos:definition;excitatory
xi_i_SJ2D;skos:definition;excitatory
K_11_SJ2D;skos:definition;excitatory
c_ei_WC;skos:definition;excitatory
a_e_WC;skos:definition;excitatory
mu_JR;skos:definition;excitatory
eta_i_SJ3D;skos:definition;excitatory
P_WC;skos:definition;excitatory
a_ie_LB;skos:definition;excitatory
delta_V_LB;skos:definition;excitatory
B_ik_SJ3D;skos:definition;excitatory
IE_i_SJ2D;skos:definition;excitatory
K_12_SJ2D;skos:definition;excitatory
a_JR;skos:definition;excitatory
C_ik_SJ2D;skos:definition;excitatory
a_ee_LB;skos:definition;excitatory
A_ik_SJ2D;skos:definition;excitatory
I_ext_RWW_EI;skos:definition;excitatory
A_ik_SJ3D;skos:definition;excitatory
K_E_CO;skos:definition;excitatory
theta_e_WC;skos:definition;excitatory
c_e_WC;skos:definition;excitatory
alpha_e_WC;skos:definition;excitatory
alpha_i_WC;skos:definition;excitatory
xi_i_SJ3D;skos:definition;excitatory
I_0_RWW_EI;skos:definition;excitatory
c_i_WC;skos:definition;excitatory
C_LB;skos:definition;excitatory
Se_WC;skos:definition;excitatory
B_ik_SJ2D;skos:definition;excitatory
lambda_RWW_EI;skos:definition;excitatory
IE_i_SJ3D;skos:definition;excitatory
e_i_SJ2D;skos:definition;excitatory
c_ee_WC;skos:definition;excitatory
A_JR;skos:definition;excitatory
H_E_RWW_EI;skos:definition;excitatory
C_ik_SJ3D;skos:definition;excitatory
I_E_RWW_EI;skos:definition;excitatory
xi_k_SJ2D;skos:definition;excitatory
V_T_LB;skos:definition;excitatory
tau_i_SJ3D;skos:definition;excitatory
S_E_RWW_EI;skos:definition;excitatory
x_e_WC;skos:definition;excitatory
k_e_WC;skos:definition;excitatory
tau_sE_CO;skos:definition;excitatory
d_E_CO;skos:definition;excitatory
xi_k_SJ3D;skos:definition;excitatory
a_ne_LB;skos:definition;excitatory
eta_i_SJ2D;skos:definition;excitatory
a_i_WC;skos:definition;excitatory
w_RWW;skos:definition;excitatory
J_RWW_EI;skos:definition;excitatory
d_i_SJ3D;skos:definition;excitatory
wp_RWW_EI;skos:definition;excitatory
b_e_WC;skos:definition;excitatory
K_11_SJ3D;skos:definition;excitatory
c_IE_CO;skos:definition;AMPA
r_NMDA_LB;skos:definition;AMPA
c_EE_CO;skos:definition;AMPA
tau_S_RWW;skos:definition;NMDA
J_N_RWW;skos:definition;NMDA
r_NMDA_LB;skos:definition;NMDA
tau_E_RWW_EI;skos:definition;NMDA
S_RWW;skos:definition;NMDA
x_RWW;skos:definition;NMDA
sigma_I_ext_CO;skos:definition;inhibitory
sigma_I_CO;skos:definition;inhibitory
I_A_CO;skos:definition;inhibitory
mu_I_CO;skos:definition;inhibitory
mu_I_ext_CO;skos:definition;inhibitory
b_i_WC;skos:definition;inhibitory
II_i_SJ3D;skos:definition;inhibitory
alpha_i_SJ2D;skos:definition;inhibitory
p_i_SJ3D;skos:definition;inhibitory
f_1_E5D;skos:definition;inhibitory
S_I_RWW_EI;skos:definition;inhibitory
Q_WC;skos:definition;inhibitory
B_ik_SJ3D;skos:definition;inhibitory
f_i_SJ2D;skos:definition;inhibitory
Si_WC;skos:definition;inhibitory
C_ik_SJ2D;skos:definition;inhibitory
a_ei_LB;skos:definition;inhibitory
K_E_CO;skos:definition;inhibitory
alpha_e_WC;skos:definition;inhibitory
alpha_i_WC;skos:definition;inhibitory
I_0_RWW_EI;skos:definition;inhibitory
delta_Z_LB;skos:definition;inhibitory
K_I_CO;skos:definition;inhibitory
a_ni_LB;skos:definition;inhibitory
B_ik_SJ2D;skos:definition;inhibitory
x_i_WC;skos:definition;inhibitory
lambda_RWW_EI;skos:definition;inhibitory
beta_i_SJ3D;skos:definition;inhibitory
H_I_RWW_EI;skos:definition;inhibitory
C_ik_SJ3D;skos:definition;inhibitory
alpha_k_SJ3D;skos:definition;inhibitory
II_i_SJ2D;skos:definition;inhibitory
Z_T_LB;skos:definition;inhibitory
c_ie_WC;skos:definition;inhibitory
beta_i_SJ2D;skos:definition;inhibitory
k_i_WC;skos:definition;inhibitory
B_JR;skos:definition;inhibitory
alpha_i_SJ3D;skos:definition;inhibitory
J_RWW_EI;skos:definition;inhibitory
gamma_i_SJ3D;skos:definition;inhibitory
c_ii_WC;skos:definition;inhibitory
d_I_CO;skos:definition;inhibitory
alpha_k_SJ2D;skos:definition;inhibitory
tau_sI_CO;skos:definition;inhibitory
theta_i_WC;skos:definition;inhibitory
I_I_RWW_EI;skos:definition;inhibitory
b_JR;skos:definition;inhibitory
c_II_CO;skos:definition;GABA
tau_I_RWW_EI;skos:definition;GABA
c_EI_CO;skos:definition;GABA
