matrix_index	node_file	node_index	label
0	atlas-DesikanKilliany	0	L.BSTS
1	atlas-DesikanKilliany	1	L.CACG
2	atlas-DesikanKilliany	2	L.CMFG
3	atlas-DesikanKilliany	3	L.CU
4	atlas-DesikanKilliany	4	L.EC
5	atlas-DesikanKilliany	5	L.FG
6	atlas-DesikanKilliany	6	L.IPG
7	atlas-DesikanKilliany	7	L.ITG
8	atlas-DesikanKilliany	8	L.ICG
9	atlas-DesikanKilliany	9	L.LOG
10	atlas-DesikanKilliany	10	L.LOFG
11	atlas-DesikanKilliany	11	L.LG
12	atlas-DesikanKilliany	12	L.MOFG
13	atlas-DesikanKilliany	13	L.MTG
14	atlas-DesikanKilliany	14	L.PHIG
15	atlas-DesikanKilliany	15	L.PaCG
16	atlas-DesikanKilliany	16	L.POP
17	atlas-DesikanKilliany	17	L.POR
18	atlas-DesikanKilliany	18	L.PTR
19	atlas-DesikanKilliany	19	L.PCAL
20	atlas-DesikanKilliany	20	L.PoCG
21	atlas-DesikanKilliany	21	L.PCG
22	atlas-DesikanKilliany	22	L.PrCG
23	atlas-DesikanKilliany	23	L.PCU
24	atlas-DesikanKilliany	24	L.RACG
25	atlas-DesikanKilliany	25	L.RMFG
26	atlas-DesikanKilliany	26	L.SFG
27	atlas-DesikanKilliany	27	L.SPG
28	atlas-DesikanKilliany	28	L.STG
29	atlas-DesikanKilliany	29	L.SMG
30	atlas-DesikanKilliany	30	L.FP
31	atlas-DesikanKilliany	31	L.TP
32	atlas-DesikanKilliany	32	L.TTG
33	atlas-DesikanKilliany	33	L.IN
34	atlas-DesikanKilliany	34	L.CER
35	atlas-DesikanKilliany	35	L.TH
36	atlas-DesikanKilliany	36	L.CA
37	atlas-DesikanKilliany	37	L.PU
38	atlas-DesikanKilliany	38	L.PA
39	atlas-DesikanKilliany	39	L.HI
40	atlas-DesikanKilliany	40	L.AM
41	atlas-DesikanKilliany	41	L.AC
42	atlas-DesikanKilliany	42	R.TH
43	atlas-DesikanKilliany	43	R.CA
44	atlas-DesikanKilliany	44	R.PU
45	atlas-DesikanKilliany	45	R.PA
46	atlas-DesikanKilliany	46	R.HI
47	atlas-DesikanKilliany	47	R.AM
48	atlas-DesikanKilliany	48	R.AC
49	atlas-DesikanKilliany	49	R.BSTS
50	atlas-DesikanKilliany	50	R.CACG
51	atlas-DesikanKilliany	51	R.CMFG
52	atlas-DesikanKilliany	52	R.CU
53	atlas-DesikanKilliany	53	R.EC
54	atlas-DesikanKilliany	54	R.FG
55	atlas-DesikanKilliany	55	R.IPG
56	atlas-DesikanKilliany	56	R.ITG
57	atlas-DesikanKilliany	57	R.ICG
58	atlas-DesikanKilliany	58	R.LOG
59	atlas-DesikanKilliany	59	R.LOFG
60	atlas-DesikanKilliany	60	R.LG
61	atlas-DesikanKilliany	61	R.MOFG
62	atlas-DesikanKilliany	62	R.MTG
63	atlas-DesikanKilliany	63	R.PHIG
64	atlas-DesikanKilliany	64	R.PaCG
65	atlas-DesikanKilliany	65	R.POP
66	atlas-DesikanKilliany	66	R.POR
67	atlas-DesikanKilliany	67	R.PTR
68	atlas-DesikanKilliany	68	R.PCAL
69	atlas-DesikanKilliany	69	R.PoCG
70	atlas-DesikanKilliany	70	R.PCG
71	atlas-DesikanKilliany	71	R.PrCG
72	atlas-DesikanKilliany	72	R.PCU
73	atlas-DesikanKilliany	73	R.RACG
74	atlas-DesikanKilliany	74	R.RMFG
75	atlas-DesikanKilliany	75	R.SFG
76	atlas-DesikanKilliany	76	R.SPG
77	atlas-DesikanKilliany	77	R.STG
78	atlas-DesikanKilliany	78	R.SMG
79	atlas-DesikanKilliany	79	R.FP
80	atlas-DesikanKilliany	80	R.TP
81	atlas-DesikanKilliany	81	R.TTG
82	atlas-DesikanKilliany	82	R.IN
83	atlas-DesikanKilliany	83	R.CER
